weapon,target,title,description,link,la,lo,date,timestamp,accuracy,
ships,1,"Знищення російського крейсеру ""Москва"" ","Крейсер ""Москва” затонув на глибині 45-50 м, його уламки можуть стати постійними джерелами забруднювачів у місцевому середовищі. Затонув у межах унікального філофорного поля ""Зернова"", яке і так перебувало під загрозою через забруднення.","https://ceobs.org/%d0%b5%d0%ba%d0%be%d0%bb%d0%be%d0%b3%d1%96%d1%87%d0%bd%d0%b8%d0%b9-%d0%b1%d1%8e%d0%bb%d0%b5%d1%82%d0%b5%d0%bd%d1%8c-%d1%89%d0%be%d0%b4%d0%be-%d0%b2%d1%96%d0%b9%d0%bd%d0%b8-%d0%b2-%d1%83%d0%ba%d1%80/?fbclid=IwAR2EcyuQBOyLo2y7v2D1zIMBNkhzKxgyeEYGqhXgHsNAPabzzQpk1RFiWV8#3
https://uk.wikipedia.org/wiki/%D0%97%D0%BD%D0%B8%D1%89%D0%B5%D0%BD%D0%BD%D1%8F_%D0%BA%D1%80%D0%B5%D0%B9%D1%81%D0%B5%D1%80%D0%B0_%C2%AB%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%C2%BB",44.99671109161381,31.712973378343683,2022-04-14,,1,
ships,1,"Знищення великого десантного корабля ""Новочеркаськ""","ВДК ""Новочеркаськ"" був атакований крилатими ракетами з тактичної авіації ПС ЗСУ та потонув в районі Феодосії. ",https://www.facebook.com/photo/?fbid=713388270891501&set=a.264245742472425 ,45.02967749192175,35.390144809500065,2023-12-26,,0,(в районі Феодосії)
ships,1,"Знищення великого десантного корабля ""Саратов""",Судно було пошкоджене внаслідок детонування БК та потонув у морському порту Бердянська.,https://www.facebook.com/navy.mil.gov.ua/posts/pfbid02AcAZNE2WfgwFZFVBHNNiUDLPH6SuZp7LqbWpFGuabUHYNfCvn4weQcXr1RcUy6Rvl ,46.75032825129938,36.77497269070476,2022-03-24,,1,
ships,1,"Знищення буксиру ""Василій Бех""","Буксир ЧФ РФ ""Василій Бех"" був уражений під час транспортування ним на о. Зміїний боєприпасів, озброєння та особового складу ЧФ.",https://www.facebook.com/AFUkraine/posts/pfbid02ytyeWECGfvX6v2H48QMNW9AHdYdL9DkjNfcnCGKUFSbBK2pmCNLtjcnPAfpMsFJHl ,45.28469888294598,30.333795832941796,2022-07-17,,0,(на шляху до о. Зміїний)
ships,1,"Пошкодження російського корабля-ракетоносія ""Аскольд""","Російський корабель-ракетоносій ""Аскольд"" отримав пошкодження внаслідок ураження ЗСУ морської та портової інфраструктури заводу ""Залив"" у т.о. Криму.",https://t.me/generalstaff_ua/9641,45.272385261530445,36.43060614882283,2023-11-06,,1,
ships,1,"Знищення ракетного корабля ""Івановєц""","Російський ракетний корабель ""Івановєц"" потонув внаслідок шести влучань у корпус ударними дронами",https://t.me/DIUkraine/3403,45.325440243894136,32.97692981603808,2024-02-01,,1,
ships,1,"Пошкодження ракетного корабля ""Самум""","Російський ракетний корабель ""Самум"" був підбитий українським дроном недалеко від входу у Севастопольську бухту.",1. https://news.liga.net/ua/politics/news/akvadron-sbu-sea-baby-podbil-rossiyskiy-raketnyy-korabl-samum 2. https://t.me/SBUkr/10469 ,44.62448333794949,33.50292755458674,2023-09-14,,1,
ships,1,"Пошкодження російського розвідувального корабля ""Іван Хурс""","Російський розвідувальний корабель ""Іван Хурс"" був уражений надводним безпілотним дроном.",1. https://suspilne.media/487411-rozviduvalnij-korabel-rf-ivan-hurs-zaznav-uskodzen-e-poraneni-dzerela-suspilnogo/ 2. https://fb.watch/q79Apvd1wJ/,44.96112009242741,32.417316619469844,2023-05-24,,0,
ships,1,"Пошкодження великого десантного корабля ""Оленегорський Горняк""",Російський ВДК Північного флоту РФ був уражений українським морським дроном,1. https://t.me/ukrpravda_news/33982 2. https://t.me/SBUkr/9312 ,44.68244489631503,37.82855824415716,2023-08-04,,0,
ships,1,"Пошкодження російського танкеру ""Sig""","Пробоїна у російському танкері ""Sig"", який був уражений українським дроном ""Мамай"", спричинила витік нафтопродуктів у Чорне море. За даними російських джерел, зібрано 55 кубічних метрів нафтової емульсії. Плівку нафтопродуктів обробили 546 кг біосорбенту, вона не підлягає збору.",1. https://hromadske.ua/posts/u-kerchenskij-protoci-morski-bezpilotniki-atakuvali-rosijskij-tanker-himovoz-ce-bula-specoperaciya-sbu 2. https://t.me/SBUkr/9312 3. https://t.me/investigatorua/6620,45.15780000316568,36.48867401500935,2023-08-04,,0,(поблизу Керченської протоки)
